"id","topic","subtopic","answer","attachment"
1,"Об университете",NULL,"21 октября (1 ноября) 1773 г. – Екатерина II начертала на указе о создании инженерного училища по горной части «быть по сему». Эта дата стала днем рождения всего высшего технического образования России.

В Горном университете 9 факультетов: геологоразведочный, горный, нефтегазовый, строительный, механико-машиностроительный, переработки минерального сырья, экономический, энергетический и институт базового инженерного образования.

С 2023 года университет участвует в пилотном проекте о реформе высшего образования. Все первокурсники в первые годы учёбы являются студентами Института базового инженерного образования и делятся на четыре укрупнённых направления обучения: отраслевое, общеиндустриальное, социально-экономическое и прикладное. 

Студенты после получения теоретической подготовки, проходят практику на учебных базах Горного университета, а затем на производствах предприятий-партнеров вуза.
",NULL
2,"Учёба","Оценки","Система оценивания в Горном такая же, как и в школе – по пятибалльной шкале. Оценки могут ставиться за любой вид работ: за курсовые работы/проекты, расчётно-графические работы/задания, рефераты, доклады, контрольные и лабораторные работы, коллоквиумы. На их основе преподаватели оценивают работу студента за семестр и допускают к экзаменам.

Все оценки за итоговые работы по предметам, а также оценки на сессии влияют на стипендию. Получение хотя бы одной тройки влечёт за собой её потерю. А если сдать экзамены на «хорошо» и «отлично» и дополнительно заниматься внеучебной деятельностью, то есть возможность получать повышенную стипендию.
",NULL
3,"Учёба","Экзамены","Экзамены в Горном университете проходят в тестовой форме, за исключением таких дисциплин, как: философия, история, социология, английский язык. Эти предметы студенты сдают в письменной форме по билетам.",NULL
4,"Учёба","Расписание","1 пара: 8.50 – 10.20
2 пара: 10.35 – 12:05
3 пара: 12.35 – 14.05
4 пара: 14.15 – 15.45
5 пара: 15.55 – 17.20
6 пара: 17.30 – 19.00
",NULL
5,"Учёба","Спортзал","В учебном центре №3 работает свободное посещение тренажёрного и фитнес залов как на первом, так и на втором этажах. 
В будние и непраздничные дни в зале на 2ом этаже время выделяется с 17:30 до 19:00. В выходные зал обычно открыт с 8:00 до 20:00. В спортзал на 1ом этаже можно приходить в любое время, даже во время пар, и работает он до 21:00 как в будни, так и в выходные. Залы просят покинуть за полчаса до времени закрытия.
",NULL
6,"Форма и чип-карта",NULL,"Форма и чип-карта
Форма выдаётся в 1 учебном центре Горного университета после зачисления студентов по адресу: 21-я линия В.О., 2. Форма выдаётся каждому поступившему один раз перед началом обучения совершенно бесплатно. Сдавать её обратно потом не нужно.

Порядок получения форменной одежды и чип-карты:

1. Сначала надо взять талончик в автомате у главного входа в университет (там же кабинет очного приёма документов на зачисление);

2. После этого двигайся по карте в сторону 6ого корпуса к аудиториям выдачи формы и чип-карты – они находятся буквально по соседству;

3. В аудитории выдачи формы можно спокойно примерить и выбрать нужный размер – форму выдадут только ❗ при условии предъявления паспорта ❗;

4. Чип-карту изготавливают и выдают в этот же день – после фотографирования нужно просто немного подождать у аудитории.
","{выдача_пиджаков.jpg}"
7,"Актив в Горном",NULL," 🔹 Как туда попасть 🔹 

Познакомиться с тем, что происходит в активе университета, позволят сообщества Вконтакте:
1. группа @mininstud (Совета Обучающихся);
2. группа твоего факультета (ссылки на каждую закреплены в группе СО);
3. группа @cultmass1773 (Клуба Культурно-массовых проектов), а также группы направлений, проектов и клубов по интересам обучающихся.

Также в сентябре-октябре традиционно проводится мероприятие «Знакомство с Горным университетом» - своеобразная ярмарка, на которой все клубы рассказывают о своей деятельности и позволяют окунуться в активную жизнь всего университета за один вечер.
Остаётся только выбрать, что тебе больше по душе – активисты университета рады встречать своих единомышленников среди поступивших. Но не забудь оценить и свою учебную нагрузку!

🔹 Зачем быть активистом 🔹 

Любая деятельность, помимо учебной, позволяет отвлечься и не выгореть, найти своих единомышленников, внести разнообразие и движение в повседневную жизнь, круто прокачать soft-skills и вывести твои умения и навыки на новый уровень. Ну и, конечно же, можно претендовать на повышенную стипендию!
",NULL
8,"Военная кафедра","Постановка на воинский учёт","Подробнее с порядком постановки на воинский учёт можно ознакомиться по ссылке:
🌐 https://vk.cc/cyDWeD",NULL
9,"Военная кафедра","Медкомиссия","Медкомиссия включает в себя проход всех врачей в военкомате, к которому ты приписан, поэтому если ты прикреплён в военкомате своего города, то в первую очередь необходимо прикрепиться к Санкт-Петербургскому военкомату по месту временной/постоянной регистрации и лучше сделать это пораньше.",NULL
10,"Военная кафедра","Отбор на военную кафедру","Рейтинговая таблица для отбора на военную кафедру составляется на основе среднего балла обучающегося, а также по результатам сдачи следующих нормативов:
🔹 подтягивания;
🔹 бег 100 м;
🔹 бег 3 км.

Дополнительно при составлении рейтинга включают результаты психологического теста, который проводится во время медкомиссии в военкомате.
",NULL
